,Vehicle,Price,Location,Manufacturing Year,Make & Model,Mileage,Drive,Title Status,Transmission,Fuel,Fuel Efficiency (Highway),Wheel Base Length,Number of Seats with Seatbelts,Sleeping Capacity,Air Bags,Air Conditioner,Audio System,Backup Camera,Bluetooth / Wifi,Electric windows,Exterior Lights,Fresh Water Tank (Portable),Generator,Grey / Black Water Tanks,Heater / Furnace,Inverter,Refrigerator,Roof Fan,Roof Rack,Shower (Outdoor),Sink,Solar,Toilet,USB port,Water Heater,Water Pump,Fresh Water Tank (Built-in),Shower (Indoor),Stove,Towing Package,Heated seats,Offroad Lights,Awning,Cooler,Offroad Tires,Security System,Suspension Mods,Tow Winch,Oven,Propane,Skylight,Bike Rack,Child Seat,Microwave,TV,Shower,Fuel (Code)
864,2019 Mercedes 2500 4x4 170---Off Road and off grid van! Professionally engineered and built. This is a very capable and comfortable van.,169000.0,"Bigfork, Montana 59911, United States",2019,Sprinter,22000.0,4WD,Clean,Automatic,Diesel,19.655462,170.0,2,3,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1
865,Fully decked-out RAM ProMaster with tiny-home aesthetic & luxiries,105000.0,"Lafayette, Colorado, United States",2017,Promaster,9500.0,2WD,Clean,Automatic,Gasoline,17.761538,,2,2,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
866,2019 Mercedes-Benz SPRINTER 2500 4X4,119000.0,"Arlington, Texas, United States",2019,Sprinter,40000.0,4WD,Clean,Automatic,Diesel,19.655462,170.0,2,3,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
867,Can't afford a Sprinter? How about a VW Eurovan MV Weekender?,28000.0,"Lakeville, Minnesota, United States",2001,Sprinter,91500.0,2WD,Clean,Automatic,Gasoline,17.761538,,7,4,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
868,"2008 Dodge Sprinter 2500 179,000 miles. 170wb 1 owner California rust free van. No def",18900.0,"Panorama City, California 91402, United States",2008,Sprinter,179000.0,2WD,Clean,Automatic,Diesel,19.655462,170.0,2,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
869,"2021 Fuso FG 4x4 Overlander... ""West Elk Wilderness Edition""",189000.0,"Gunnison, Colorado 81230, United States",2021,Other,22000.0,4WD,Clean,Other,Diesel,19.655462,132.0,2,4,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1
870,2020 Sprinter TINY HOME,119000.0,"San Diego, California, United States",2020,Sprinter,649.0,2WD,Clean,Automatic,Diesel,19.655462,170.0,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
871,2014 Mercedes Sprinter 2500 Off Grid Home On Wheels,85000.0,"Walnut Creek, California, United States",2014,Sprinter,158000.0,2WD,Clean,Automatic,Diesel,19.655462,171.0,2,2,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
872,2017 PROMASTER: new build • low miles • built for 3,63000.0,"Austin, Texas, United States",2017,Promaster,60000.0,2WD,Clean,Automatic,Gasoline,17.761538,159.0,3,3,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2
873,"SOLD: 2020 FORD TRANSIT AWD, HIGH ROOF/EXTENDED. Engineered and handcrafted for Off-grid, Off-road adventures! Available throughout Canada and the US (with assist). Price quoted is USD.",127000.0,"N5A 4N8, Stratford, Ontario, Canada",2020,Transit,135.0,AWD,Clean,Automatic,Gasoline,17.761538,148.0,2,2,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,2
874,2000 international skoolie,48000.0,"Hamilton Township, New Jersey 08619, United States",2000,Other,192000.0,2WD,Clean,Automatic,Diesel,19.655462,,2,4,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1
875,2013 Mercedes V6 2500 Ext Sprinter,68000.0,"Nashville, Tennessee, United States",2013,Sprinter,141000.0,2WD,Lien,Automatic,Diesel,19.655462,170.0,2,2,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
876,The Wanderer - A Premiere Nissan NV200 Van Conversion with ultimate mobility and a super quiet ride,9998.0,"Boston, Massachusetts, United States",2015,Other,36689.0,2WD,Clean,Automatic,Gasoline,17.761538,,2,2,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
879,"2021 Ford Transit 250 148"" High Roof Luxury Weekender Camper Van",92500.0,"Bend, Oregon, United States",2021,Transit,3650.0,2WD,Clean,Automatic,Gasoline,17.761538,148.0,2,2,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
884,2021 Sprinter,102000.0,"Portland, Oregon, United States",2021,Sprinter,2500.0,2WD,Clean,Automatic,Diesel,19.655462,144.0,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
890,2021 4x4 Mercedes Sprinter - Partial Build,89950.0,"Houston, Texas, United States",2021,Sprinter,285.0,4WD,Clean,Automatic,Diesel,19.655462,144.0,2,2,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
893,Sprinter Campervan,89500.0,"Ronald Reagan Freeway, Granada Hills, California 91344, United States",2017,Sprinter,11300.0,2WD,Clean,Automatic,Diesel,19.655462,,2,3,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
901,Fully converted 2013 Ford E-150,21000.0,"Venice, Florida, United States",2013,Other,107500.0,2WD,Clean,Automatic,Gasoline,17.761538,,2,2,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
908,SKOOLIANA 5 WINDOW WHEEL CHAIR DOOR SHORT BUS,55000.0,"Eugene, Oregon, United States",2003,Other,162000.0,2WD,Clean,Automatic,Diesel,19.655462,,1,4,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1
924,2017 GMC Savana Explorer SE Limited 2500 Conversion,64997.0,"Clearwater, Minnesota 55320, United States",2017,Other,6007.0,2WD,Clean,Automatic,Gasoline,17.761538,,6,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
930,2015 Ford Transit Custom Camper high roof extended,54000.0,"V7H 2E9, North Vancouver, British Columbia, Canada",2015,Transit,80700.0,2WD,Clean,Automatic,Gasoline,17.761538,,2,2,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,2
931,(SALE PENDING) 2010 Freightliner Sprinter,55000.0,"Portland, Oregon, United States",2010,Sprinter,191000.0,2WD,Clean,Automatic,Diesel,19.655462,,4,4,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
936,2017 Quigley Ford Transit Mid roof 130 4x4,59000.0,"St. Joseph, Missouri, United States",2017,Transit,51500.0,4WD,Lien,Automatic,Gasoline,17.761538,130.0,5,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,2
966,Cozy Family Van (sleeps 4) built by Inner Space,85000.0,"El Sobrante, California, United States",2019,Promaster,30000.0,2WD,Clean,Automatic,Gasoline,17.761538,,4,4,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2
986,*PENDING* Off Grid Adventure Van - New Build,109000.0,"Portsmouth, New Hampshire 03801, United States",2021,Promaster,2700.0,2WD,Clean,Automatic,Gasoline,17.761538,159.0,2,2,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2
1024,2018 Ram Promaster 1500 136” WB,59000.0,"Anchorage, Alaska, United States",2018,Promaster,38000.0,2WD,Clean,Automatic,Gasoline,17.761538,136.0,2,2,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
1025,Converted Ambulance/RV/Toyhauler/TinyHome/Boondocker,60000.0,"2607 Railroad Street West, Missoula, Montana 59808, United States",1996,Other,76000.0,2WD,Clean,Automatic,Diesel,19.655462,,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1
1026,converted camper van,12000.0,"New Jersey, United States",1994,Other,195000.0,2WD,Clean,Automatic,Gasoline,17.761538,,2,2,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
1028,"2017 Ram Promaster 2500 159"" Wheelbase Campervan",57000.0,"Palm Beach Gardens, Florida, United States",2017,Promaster,100380.0,2WD,Lien,Automatic,Gasoline,17.761538,1559.0,2,2,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
