,Vehicle,Price,Location,Manufacturing Year,Make & Model,Mileage,Drive,Title Status,Transmission,Fuel,Fuel Efficiency (Highway),Wheel Base Length,Number of Seats with Seatbelts,Sleeping Capacity,Air Bags,Air Conditioner,Audio System,Backup Camera,Bluetooth / Wifi,Electric windows,Exterior Lights,Fresh Water Tank (Portable),Generator,Grey / Black Water Tanks,Heater / Furnace,Inverter,Refrigerator,Roof Fan,Roof Rack,Shower (Outdoor),Sink,Solar,Toilet,USB port,Water Heater,Water Pump,Fresh Water Tank (Built-in),Shower (Indoor),Stove,Towing Package,Heated seats,Offroad Lights,Awning,Cooler,Offroad Tires,Security System,Suspension Mods,Tow Winch,Oven,Propane,Skylight,Bike Rack,Child Seat,Microwave,TV,Shower,Fuel (Code)
455,2017 Ram Promaster Low Roof Conversion,47000.0,"Richmond, Virginia, United States",2017,Promaster,51321.0,2WD,Clean,Automatic,Gasoline,13.0,118.0,2,2,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
456,2007 Dodge Sprinter 2500,16500.0,"Cary, North Carolina, United States",2007,Sprinter,124000.0,2WD,Clean,Automatic,Diesel,18.009009,,2,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
457,1996 Dodge Camper Van by Explorer,12500.0,"Vail, Colorado, United States",1996,Other,205000.0,2WD,Clean,Automatic,Gasoline,18.0,,7,3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2
458,"Custom, Cozy, off grid, all season camper van!",85000.0,"Glenwood Springs, Colorado, United States",2020,Promaster,20500.0,2WD,Clean,Automatic,Gasoline,19.571429,159.0,2,2,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2
459,Ram Promaster 1500 Custom Campervan,60000.0,"Walpole, Massachusetts 02081, United States",2018,Promaster,50000.0,2WD,Clean,Automatic,Gasoline,18.009009,136.0,2,2,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
460,"Custom Designed Stealth Van, Bedroom on Wheels",13500.0,"High Springs, Florida, United States",2001,Other,109500.0,2WD,Clean,Automatic,Gasoline,18.0,,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
461,"2019 Ford Transit 250 High Roof Remote Work Focus (Duo Monitors, 8.8 kwh Batteries, EV Charging, Convertible Showers)",75500.0,"Seattle, Washington, United States",2019,Transit,38199.0,2WD,Clean,Automatic,Gasoline,21.0,148.0,2,2,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
462,"2015 RAM Promaster 3500 159""",58000.0,"Los Angeles, California, United States",2015,Promaster,113000.0,2WD,Clean,Automatic,Gasoline,19.571429,159.0,4,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
463,2018 Ford Transit XLT 350 LR Camper,37000.0,"Augusta, Georgia, United States",2018,Transit,53009.0,2WD,Clean,Automatic,Gasoline,19.0,178.0,2,2,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2
464,2020 Sprinter 144wb DIY Ready Van w/ 5yr Mercedes Warranty,87500.0,"Denver, Colorado, United States",2020,Sprinter,2800.0,2WD,Clean,Automatic,Diesel,18.009009,144.0,2,2,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
465,"Fully Converted 2020 159"" Promaster High Roof Extended",110000.0,"Bend, Oregon, United States",2020,Promaster,2673.0,2WD,Clean,Automatic,Gasoline,19.571429,159.0,2,2,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,2
466,Small camper,50000.0,"San Clemente, California 92672, United States",2014,Promaster,58390.0,2WD,Clean,Automatic,Diesel,18.0,136.0,2,2,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
467,"Sprinter Camper 118"" WB",38000.0,"San Francisco, California, United States",2004,Sprinter,146000.0,2WD,Clean,Automatic,Bio-Diesel,19.0,118.0,2,2,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,3
468,Weekender Cabin on Wheels!,62000.0,"2551 Military Street, Port Huron, Michigan 48060, United States",2019,Other,36000.0,2WD,Lien,Automatic,Gasoline,18.0,159.0,2,2,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
469,The Ultimate 4x4 Bike/Ski/Family Road Trip Rig,149000.0,"22840 Latigo Court, Bend, Oregon 97701, United States",2016,Sprinter,41000.0,4WD,Clean,Automatic,Diesel,19.571429,170.0,5,4,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1
470,One-of-a-kind Baby Blue Sprinter with Luxury Interior - New Build,110000.0,"Bend, Oregon, United States",2015,Sprinter,51000.0,2WD,Clean,Automatic,Diesel,18.0,144.0,2,2,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
471,2021 Sprinter 2500 4x4 170 Custom Camper,181000.0,"Minneapolis, Minnesota, United States",2021,Sprinter,100.0,4WD,Clean,Automatic,Diesel,11.0,170.0,4,3,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
472,"Promaster - 2018, high roof, clean title",68900.0,"Dublin, Ohio 43016, United States",2018,Promaster,49000.0,2WD,Clean,Automatic,Gasoline,19.571429,,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
473,1990 Toyota Hiace HolidayAce RV 4x4 and Diesel Engine,100.0,"Spokane, Washington, United States",1990,Other,85800.0,4WD,Clean,Manual (Stick Shift),Diesel,18.009009,,7,5,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
474,Romper,75000.0,"Nashville, Tennessee, United States",2017,Sprinter,73000.0,2WD,Rebuilt,Automatic,Diesel,23.0,144.0,4,2,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
475,2003 Ford E250 Reduced Price,22500.0,"Stevenson, Maryland, United States",2003,Other,117000.0,2WD,Clean,Automatic,Gasoline,18.009009,,1,2,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
476,2017 RAM Promaster 159 High Roof,65000.0,"Silverthorne, Colorado, United States",2017,Promaster,69000.0,2WD,Lien,Automatic,Gasoline,18.009009,159.0,2,2,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2
477,2005 Dodge Sprinter 3500 - New reman engine and transmission!,60000.0,"Panama City, Florida, United States",2005,Sprinter,219000.0,2WD,Clean,Automatic,Diesel,19.0,158.0,2,2,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
478,2019 Sprinter 2500 4x4,101000.0,"Hoquiam, Washington, United States",2019,Sprinter,22736.0,4WD,Clean,Automatic,Diesel,14.0,,2,2,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
479,Promaster high roof,26000.0,"Orlando, Florida, United States",2014,Promaster,93000.0,2WD,Clean,Automatic,Gasoline,18.009009,159.0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
480,Ford Transit Conversion Van,59900.0,"1257 East 5th Avenue, Chico, California 95926, United States",2019,Transit,88900.0,2WD,Lien,Automatic,Gasoline,18.009009,121.0,2,2,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
481,Mercedes Benz 2020 Sprinter 2500 cargo van 144’’ 3.0L V6 turbo Diesel,90000.0,"Ventura, California, United States",2020,Sprinter,13000.0,2WD,Clean,Automatic,Diesel,16.0,144.0,2,2,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1
482,2020 4x4 Sprinter 144wb - DIY Ready,87995.0,"Denver, Colorado, United States",2020,Sprinter,3000.0,4WD,Lien,Automatic,Diesel,19.571429,144.0,2,2,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
483,*SOLD* Off Grid Adventure Van - New Build,109000.0,"Portsmouth, New Hampshire 03801, United States",2021,Promaster,2700.0,2WD,Clean,Automatic,Gasoline,19.571429,159.0,2,2,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2
484,Promaster Camper Conversion,75000.0,"Glastonbury, Connecticut, United States",2019,Promaster,26000.0,2WD,Clean,Automatic,Gasoline,19.571429,159.0,2,3,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
485,2019 Sprinter 3500XD 170 Ext Seats 6,85000.0,"California, United States",2019,Sprinter,6000.0,2WD,Lien,Automatic,Diesel,22.0,170.0,6,6,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
486,Family Adventure Van,98000.0,"St. George, Utah, United States",2020,Sprinter,1200.0,2WD,Clean,Automatic,Diesel,18.009009,170.0,8,6,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1
487,2014 Dodge Ram Promaster 2500 - The Climber's Van!,49999.0,"San Diego, California, United States",2014,Promaster,116000.0,2WD,Clean,Automatic,Gasoline,19.571429,159.0,2,2,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2
488,"2019 Ford Transit High Roof Pro Built With Water Heater, Reverse Osmosis, Outdoor Shower, Garage & Work Mode",80000.0,"Downers Grove, Illinois, United States",2019,Transit,41000.0,2WD,Clean,Automatic,Gasoline,22.0,148.0,2,2,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
