,Vehicle,Price,Location,Manufacturing Year,Make & Model,Mileage,Drive,Title Status,Transmission,Fuel,Fuel Efficiency (Highway),Wheel Base Length,Number of Seats with Seatbelts,Sleeping Capacity,Air Bags,Air Conditioner,Audio System,Backup Camera,Bluetooth / Wifi,Cooler,Exterior Lights,Fresh Water Tank (Portable),Inverter,Refrigerator,Roof Fan,Roof Rack,Sink,Solar,Tow Winch,Towing Package,USB port,Bike Rack,Fresh Water Tank (Built-in),Grey / Black Water Tanks,Heater / Furnace,Oven,Security System,Shower (Indoor),Shower (Outdoor),Stove,Toilet,Water Heater,Water Pump,Awning,Electric windows,Microwave,Offroad Lights,Offroad Tires,Skylight,Suspension Mods,TV,Propane,Heated seats,Generator,Child Seat,Handicap / Wheelchair Conversion
15,Chevy Conversion Bus 2014,85000.0,"Mount Pleasant, South Carolina 29464, United States",2014,Chevy Express G-4500 2014,118000,2WD,Clean,Automatic,Diesel,12.0,,3,4,True,True,True,True,,True,,True,True,True,True,True,True,True,,True,True,,True,True,,,True,True,True,True,True,True,True,,,,,,,,True,True,,,True,
16,2013 Mercedes Sprinter 144WB,64000.0,"Boulder, Colorado, United States",2013,Mercedes Sprinter 144 WB,145000,2WD,Clean,Automatic,Diesel,18.0,144.0,2,2,True,,True,,True,True,,True,True,True,True,,True,True,,,True,,True,True,,,,,True,True,True,,True,,,,,True,,,,True,,,,
17,2016 Ram Promaster 2500 159WB Brand New Build,69900.0,"Pittsburgh, Pennsylvania, United States",2016,Ram Promaster,47000,2WD,Clean,Automatic,Gasoline,,159.0,3,3,True,True,True,,,,,,True,True,True,,True,True,,,True,,True,True,,,,,True,,,,True,,True,,,,,,,,,,,
18,Adventure Cabin - #Vanlife in a Converted Custom Campervan!,69999.0,"Orem, Utah, United States",2019,2019 Ford Transit,51000,2WD,Lien,Automatic,Gasoline,,148.0,2,-11,True,,True,True,,,,,True,True,True,True,True,True,,,True,True,True,True,True,,,,True,True,True,,True,,True,,,,,,,,,,,
19,Camper Van 400W Solar,66500.0,"153 Oak Grove Dr, Rhome, Texas 76078, United States",2019,2019 Ford Transit 250 Mid Roof 148 WB,43500,2WD,Lien,Automatic,Gasoline,,148.0,2,2,True,True,True,True,True,,,,True,True,True,,True,True,,True,True,,True,True,True,,,True,,,True,True,True,,True,,,,True,,,,,,,
20,2020 GMC Van,39000.0,"Fontana-on-Geneva Lake, Wisconsin, United States",2020,2020 GMC Savana,13000,2WD,Clean,Automatic,Gasoline,18.0,,5,2,True,,True,True,True,True,,True,,,,,,,,True,,,,,,,,,,,True,,,True,,,,,,,,,,,,
21,SHORT WHEELBASE HIGHTOP,31250.0,"Santa Barbara, California, United States",2004,DODGE SPRINTER 2500,172483,2WD,Salvage,Automatic,Diesel,20.0,118.0,2,2,True,True,,,,True,True,True,True,True,True,True,True,True,,,True,,,,True,,,,,True,,,True,True,True,,,True,,,,,,,,
22,2020 4x4 Mercedes Sprinter 144'' WB off-grid van w/ shower,120000.0,"Louisville, Kentucky, United States",2020,2020 4x4 Mercedes Sprinter 2500 144'',6000,4WD,Clean,Automatic,Diesel,17.0,144.0,2,2,True,True,True,True,True,,True,True,True,True,True,True,True,True,,,True,,True,True,True,,True,True,True,True,True,True,True,,True,,True,,,,True,,,,,
23,4x4 F550 Tiny House,115000.0,"Friday Harbor, Washington, United States",2007,Ford Super Duty,180000,4WD,Clean,Automatic,Diesel,12.0,158.0,3,3,True,,True,,,,True,,True,True,True,,True,True,,True,True,,True,True,True,True,,True,,True,True,True,True,,True,,True,True,,True,True,True,,,,
24,2015 Mercedes - Benz Sprinter 2500 144WB,74000.0,"Kailua, Hawaii, United States",2015,Mercedes - Benz Sprinter,50000,2WD,Clean,Automatic,Diesel,,,2,2,True,True,True,True,True,True,,,True,True,True,,True,True,True,True,True,True,True,True,,,True,,True,,True,,True,,True,,,,,,,,True,,,
25,4x4 Ford Transit 350 MR Quad Van,98600.0,"Whitefish, Montana 59937, United States",2015,Ford Transit,29860,4WD,Clean,Automatic,Diesel,,148.0,2,2,True,True,True,,True,,True,True,True,True,True,True,True,True,,True,True,,,True,,,,,,True,,,True,,True,,,True,,True,,,,,,
26,2020 MB 4x4 170 WB Custom Conversion,130000.0,"Vermont, United States",2020,Mercedes Sprinter 4x4 170 WB 2500 Diesel,6000,4WD,Clean,Automatic,Diesel,20.0,170.0,2,3,True,,,True,,,,,True,True,True,,True,True,,True,True,,True,,True,True,,,True,True,,,True,,True,,,,,,,True,,,,
27,Home Away From Home 2021 Build 2019 Ford Transit,63500.0,"56698 Sunset Drive, Shelby Charter Township, Michigan 48316, United States",2019,2019 Ford Transit 250 Medium Roof,30000,2WD,Clean,Automatic,Gasoline,20.0,,2,2,True,,True,True,True,True,True,True,True,True,True,,True,True,,,True,,True,True,,True,True,,True,True,,True,True,,True,,,,,,,True,,,,
28,Adventure Ready Mercedes-Benz Metris With SCA Camper Conversion!,56500.0,"Chicago, Illinois, United States",2016,Mercedes-Benz Metris,52500,2WD,Clean,Automatic,Gasoline,,,8,2,True,,True,True,True,,,,,,,,,,,,True,,,,,,,,,,,,,,True,,,True,,True,,,,,,
29,2015 Toyota Sienna Camper Conversion by Oasis Campervans,38500.0,"Broomfield, Colorado, United States",2015,Toyota Sienna,90000,2WD,Clean,Automatic,Gasoline,22.0,,2,2,True,True,,True,True,,,True,True,True,,,True,True,,,True,,,True,,,,,,True,,,True,,True,,,,,,,,,,,
30,"Sad to say goodbye, but love to watch you leave",95000.0,"Murrieta, California, United States",2020,Ram Promaster 2500 159 High Roof,6900,2WD,Clean,Automatic,Gasoline,,159.0,2,2,True,,True,True,True,,,True,True,True,True,,True,True,,,True,,True,True,,,,,True,,,,True,,True,,,,,,,,,,,
31,"Brand New Build, Low Miles, Professionally Converted by Nomad RVs",65000.0,"Toms River, New Jersey 08753, United States",2020,2020 Ram Promaster,13974,2WD,Lien,Automatic,Gasoline,,136.0,2,2,True,True,,True,True,,,,True,True,True,,True,True,,,True,,True,,True,,,,True,,,True,True,,True,,,,,,,,,,,
32,*SOLD* | Chevy 3500 BlueBird | Fully Equipped & Off Grid Ready | Custom Skoolie Conversion,52000.0,"Saint Paul, Minnesota, United States",2010,2010 Chevy 3500 Duramax Diesel,116400,2WD,Clean,Automatic,Diesel,15.0,21.0,3,2,,,,,,,,True,True,True,,,True,True,,,True,,,True,True,,,,,True,True,,True,,,,,,True,,,True,,,,
33,"Mercedes TN 309 , model 1982 , 49000 miles (PRICE 9000$)",9000.0,"Matn District, Mount Lebanon, Lebanon",1982,"Mercedes TN 309 , model 1982",49000,2WD,Clean,Manual (Stick Shift),Gasoline,,,3,3,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2017 Sprinter 144,105000.0,"Franklin Park, Illinois 60131, United States",2017,Mercedes Sprinter,52000,2WD,Clean,Automatic,Diesel,,,2,2,True,,True,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,True,,,,True,True,,True,True,,True,True,True,True,,,,True,,,,
35,2021 Mercedes Benz Sprinter 2500 Diesel 4x4,129000.0,"Vista, California, United States",2021,Mercedes Sprinter,220,4WD,Clean,Automatic,Diesel,,,4,2,True,True,True,True,,True,,True,True,True,True,,True,,True,True,True,,,True,,,,,,,True,,True,,True,True,,True,,True,,,,True,,
36,"New 2020 Transit 350 High Roof Extended, Seat and Sleep for 4",109000.0,"La Crescenta-Montrose, California, United States",2020,Ford Transit,440,2WD,Clean,Automatic,Gasoline,,148.0,4,4,True,True,,True,True,True,,,True,True,True,,True,True,,True,True,,True,True,True,,,True,,True,True,True,True,,True,,,,,,,True,,,,
37,AMAZING LAYOUT! WITH ALL THE AMENETIES. THIS ONE HAS [SOLD] CONTACT US TO START YOUR BUILD!,91000.0,"Denver, Colorado, United States",2020,Ram Promaster,34000,2WD,Clean,Automatic,Gasoline,,159.0,2,2,True,True,True,True,,,,True,True,True,True,,True,True,,,True,,True,True,True,,,,True,,True,True,True,,,,,,,,,True,,,,
38,The Wandering Family Van!,127500.0,"Colorado, United States",2021,Ram Promaster 3500 159EXT,2000,2WD,Clean,Automatic,Gasoline,,,4,4,True,,True,True,,,,,True,True,True,,True,True,,True,True,,True,True,True,,,True,,,True,True,True,,True,,,,,True,,,,,True,
39,"2020 Mercedes Sprinter 170"" Brand New Conversion l Adventure In Style",185000.0,"Santa Barbara, California, United States",2020,Mercedes Sprinter 170 2500,500,2WD,Clean,Automatic,Diesel,,170.0,2,2,True,,True,True,True,,,True,True,True,True,True,True,True,,,True,,True,True,True,,True,True,True,True,True,True,True,,True,,,,True,,,,,,,
40,2020 Promaster: Adventure-Ready,65000.0,"Denver, Colorado, United States",2020,2020 Ram Promaster,18000,2WD,Clean,Automatic,Gasoline,18.0,159.0,2,4,True,,True,True,True,,,,True,True,True,,True,True,,True,True,,True,,,True,,,,True,,,,,True,,,,,,,True,,,,
41,E350 Extended comfort !,16000.0,"3119 100th Street, Malcom, Iowa 50157, United States",2000,Ford E350 Extended,104500,2WD,Clean,Automatic,Gasoline,,,2,2,,True,,True,True,,,,,,,True,,,,True,,,,,,,,,,,,,,,True,,,,True,,,,,,,
42,2021 Sprinter 170 2WD Professionally Converted and Adventure Ready November 2021!,150000.0,"Bend, Oregon, United States",2021,2021 Mercedes Sprinter 170 2WD Crew Van,450,2WD,Clean,Automatic,Diesel,18.0,170.0,5,2,True,,True,True,True,,,,True,True,True,True,True,True,,True,True,True,True,True,True,,,,True,True,True,True,True,True,True,,,True,,True,,,True,,,
43,"Clean and Modern Custom 2008 170"" Dodge Sprinter",54000.0,"Provo, Utah, United States",2008,Dodge Sprinter,203001,2WD,Clean,Automatic,Diesel,,170.0,2,2,True,True,True,True,,,,True,True,True,True,,True,True,,True,True,,,,,,,,,,True,,True,,True,,,True,,,,,,,,
44,"1985 VW Vanagon Westfalia - 62k Miles, ALL ORIGINAL!",60000.0,"Port Angeles, Washington, United States",1985,Volkswagen Vanagon Westfalia,62000,2WD,Clean,Manual (Stick Shift),Gasoline,,,5,4,,True,,,,,,,,True,,,True,,,,,,True,,,,,,,True,,,True,True,,,,,True,,,True,,,,
45,2020 4x4 Adventure Wagon Sprinter Build,189000.0,"Portland, Oregon, United States",2020,Freightliner Sprinter,350,4WD,Lien,Automatic,Diesel,,144.0,2,2,True,True,True,True,True,True,True,,True,True,True,True,True,True,,True,True,True,True,True,True,,True,,True,True,True,True,True,True,True,,True,True,,True,,,True,,,
46,"Brand new professionally built, 2021 Sprinter.",95000.0,"Hood River, Oregon, United States",2021,Mercedes Sprinter 2021,800,2WD,Clean,Automatic,Diesel,21.0,144.0,2,2,True,,True,True,True,,,True,True,True,True,True,True,True,,,True,True,,,True,,,True,,True,True,True,True,,True,,,,,,,,,,,
47,"2011 Mercedes Sprinter 2500, 170WB, high roof campervan in perfect condition, only 126k miles- $US30,000",30000.0,"L5T 1E8, Mississauga, Ontario, Canada",2011,Mercedes Sprinter,126000,2WD,Clean,Automatic,Diesel,20.0,170.0,2,4,,True,,,,,,True,True,True,True,,True,True,,,True,,,True,True,,,True,,True,True,,True,,,,,,,,,True,True,,,
48,2 BEDS 4 SEATS campervan!,69000.0,"Hallandale Beach, Florida, United States",2019,Ford Transit 350,39000,2WD,Clean,Automatic,Gasoline,,,4,4,True,True,True,True,,,,True,True,,True,,True,True,,,True,,True,,,,True,,,,,,True,,True,,,,,,,,,True,,
49,4X4 Mercedes Sprinter - Brand New Late 2020 Build,135000.0,"Culver City, California, United States",2020,"Mercedes-Benz Sprinter – 2500, 170” wheel base, 4x4",10000,4WD,Clean,Automatic,Gasoline,21.0,170.0,3,3,True,True,True,True,True,,True,True,True,True,True,True,True,True,,,True,True,True,True,True,,,,True,True,True,True,True,,True,,True,,,,,,,,,
0,Custom Transit 250 Camper Van,49500.0,"West Bloomfield Township, Michigan, United States",2015,Ford Transit 250,126000,2WD,Clean,Automatic,Gasoline,,148.0,3,3,True,,True,True,True,,,,True,True,True,,True,,,True,True,,True,True,True,,,,True,,True,True,True,,True,,,True,,True,,,,True,,
1,Gorgeous luxury conversion in fully loaded Sprinter.,139900.0,"6631 West Sunset Hills Drive, Highland, Utah 84003, United States",2020,Mercedes Benz Sprinter,1500,2WD,Clean,Automatic,Diesel,18.0,144.0,2,2,True,True,True,True,True,,,,True,True,,,True,True,,True,True,,True,True,True,,,,True,True,True,True,True,,True,True,,True,,,,,,,,
2,2021 Mercedes-Benz Sprinter 144 HR Adventure Campervan,114900.0,"Arkansas, United States",2021,MB Sprinter 2500 144 HR Gasser,905,2WD,Lien,Automatic,Gasoline,,144.0,4,4,True,,True,True,True,,True,,True,True,True,,True,True,,,True,,True,True,,,,,True,,True,True,True,,,,,,,,,,,,,
3,Beautiful Modern Deals on Wheels! Ram Promaster 2500,74000.0,"Salt Lake City, Utah, United States",2016,Ram Promaster 2500 159 WB,16997,2WD,Clean,Automatic,Gasoline,,156.0,2,2,True,,True,True,True,True,,True,True,True,True,True,True,True,,True,True,,True,True,,,,,True,True,True,,True,,True,,,,,,,,,,,
4,2016 4x4 Sprinter for the Outdoor Enthusiast,90000.0,"Winston-Salem, North Carolina, United States",2016,Mercedes Sprinter,32000,4WD,Clean,Automatic,Diesel,22.0,144.0,5,3,True,True,True,,True,,,True,,True,True,,True,True,,True,True,,,True,True,,,,,True,,,True,,True,,,,,,,True,True,,,
5,2018 4x4 170” Converted Mercedes Benz Sprinter Van,124888.0,"Franklin, Tennessee, United States",2018,2018 Mercedes Sprinter Van (2021 conversion),16000,4WD,Clean,Automatic,Diesel,,,2,2,True,,True,True,True,,True,,True,True,True,,True,True,,True,True,,True,,True,,,True,True,True,True,True,True,,,,True,True,,,,True,,,,
6,For Sale: 2020 Mercedes-Benz Sprinter 4X4 E.O. Graphite Gray/3M Black,199000.0,"Orange County, California, United States",2020,2020 Mercedes-Benz Sprinter 4X4.,6800,4WD,Clean,Automatic,Diesel,,144.0,4,4,True,True,True,True,True,,True,True,True,True,,True,True,True,,True,True,True,True,True,True,,True,,True,,,True,True,True,True,,True,True,,True,,,,,,
7,Fully Loaded 2017 Sprinter High Roof 4X4 170 WB,123500.0,"Salt Lake City, Utah, United States",2017,Mercedes Sprinter,62400,4WD,Clean,Automatic,Diesel,,170.0,2,2,True,True,True,True,True,,True,,True,True,True,,True,True,,True,True,True,True,True,True,,,,True,,,True,True,True,True,,True,True,,True,,,,,,
8,Unicorn - 170” EXT 4x4 Dually Sprinter,159300.0,"Binghamton, New York, United States",2018,Mercedes Sprinter,45000,4WD,Lien,Automatic,Diesel,,170.0,2,2,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,,,True,True,True,True,,
9,2017 Mercedes Sprinter 4x4 Sale Pending,78000.0,"Atlanta, Georgia, United States",2017,Mercedes Sprinter 4x4 2500,106000,4WD,Clean,Automatic,Diesel,16.0,,2,3,,True,,True,True,,,True,True,True,True,,True,True,,,True,,True,,True,True,,,True,True,,True,True,,True,,,True,True,,True,True,,True,,
10,1994 Toyota Hiace Super Custom,21500.0,"Nashville, Tennessee, United States",1994,Toyota Hiace,47060,AWD,Clean,Automatic,Diesel,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,True,,,,,,,
11,"The Swift Chalet - 2020 FORD TRANSIT, HIGH ROOF. Off-grid.",110000.0,"Toronto, Ontario, Canada",2020,Ford Transit 2020,15500,2WD,Clean,Automatic,Gasoline,,,2,2,True,,True,True,True,,,True,True,True,True,,True,True,,,True,,,True,True,,True,,,True,True,,True,,,,,,,,,,,,,
12,2021 Build ready for vanlife!,79000.0,"Loveland, Colorado, United States",2017,"Dodge RamPromaster 2500 159""",55666,2WD,Lien,Automatic,Gasoline,,159.0,2,2,True,,True,True,True,,True,,True,True,True,True,True,True,,,True,,True,True,,,,True,,True,True,True,True,,,,,True,,,,True,,,,
13,2019 Ram Promaster - 4 Season Camper | BATHROOM | AC | HEAT | SOLAR,82000.0,"Grove, Oklahoma, United States",2019,Ram Promaster,51300,2WD,Clean,Automatic,Gasoline,,159.0,2,2,,True,,True,True,,,,True,True,True,,True,True,,,True,,True,True,True,,True,True,,True,True,True,True,,,,,True,,,,,,,,
14,"SOLD 2021 Ram Promaster 136"" WB 5,000 Miles - SOLD",59500.0,"Kelseyville, California, United States",2021,"2021 Ram Promaster 1500 High Roof 136"" WB",5000,2WD,Lien,Automatic,Gasoline,,136.0,3,3,True,True,True,True,True,,True,True,True,True,True,,True,True,,,True,,,True,True,,True,,True,True,,,True,,True,,,,,,,True,,,,
15,2021 NEW Merceds Benz Sprinter 144 Converson,142500.0,"2276 Manatt Court, Castle Rock, Colorado 80104, United States",2021,Merceds Benz Sprinter 1500 - Gasoline (Benefit - not Diesel),42,2WD,Clean,Automatic,Gasoline,,144.0,2,2,True,,True,True,True,,True,,True,True,True,True,True,,True,True,True,,True,True,True,,,,True,,,True,True,,True,,True,True,,,,,,,,
16,2017 Mercedes Sprinter 2500 4x4,120000.0,"Los Angeles, California, United States",2017,Mercedes Benz Sprinter,40000,4WD,Clean,Automatic,Diesel,,144.0,5,2,True,,True,True,True,,True,,True,True,True,True,True,True,,True,True,True,True,True,True,,True,,True,True,True,True,True,True,,,True,True,True,,,True,True,,,
17,SOLD 2017 Ram Promaster 2500 High Roof 159',60000.0,"Plainview, New York, United States",2017,2017 Ram Promaster,48663,2WD,Clean,Automatic,Gasoline,20.0,159.0,2,3,True,True,True,True,,,True,True,True,True,True,,True,True,,,True,,,True,,,,,True,,True,,True,,True,,,,,,,True,,,,
18,New Mercedes Sprinter ready for your off grid adventures!,89000.0,"Denver, Colorado, United States",2021,Mercedes Sprinter,40,2WD,Clean,Automatic,Diesel,,144.0,3,3,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,,,True,,,,True,,True,,True,,True,,,,,,True,True,,
19,2016 Ram Promaster 2500 Camper Van,25000.0,"Los Angeles, California, United States",2016,Ram Promaster 2500,119085,2WD,Clean,Automatic,Gasoline,,159.0,2,2,True,True,True,True,True,,,,True,,True,,True,True,,,True,,,True,,,,,True,True,True,,True,,True,,,,,,,,,,,
20,Artist's Home on Wheels,55000.0,"Woodland Hills, Woodland Hills, California 91364, United States",2013,Mercedes Sprinter 2500 170 Extended,261000,2WD,Clean,Automatic,Diesel,21.0,170.0,2,3,True,,True,True,,,,True,True,True,True,,True,True,,,,,,True,,,,,,True,True,,True,,True,,,,True,,,True,,,,
21,"Chevy Express Weekender, Passenger or Conversion…",14999.0,"Old Point Loma lighthouse, 1800 Cabrillo Memorial Dr, San Diego, California 92152, United States",2000,2000 Chevy 2500 Express Passenger Van,109965,2WD,Clean,Automatic,Gasoline,,,12,3,,True,True,,True,True,,,,,,,,,True,True,True,,,,True,,,,,,,,,,True,,,True,,True,,,,,,
22,Ford Transit High Roof EcoBoost New Conversion,85500.0,"Santa Cruz, California, United States",2017,Ford Transit 250 High Roof with 3.5 EcoBoost V6 Engine,27500,2WD,Clean,Automatic,Gasoline,18.0,148.0,2,3,True,,,,,,,True,,True,True,,True,True,,,True,,True,True,,,,,,,,,True,,True,,,,,,,,,,,
23,"2017 Ram Promaster 2500, 159.",50000.0,"Бруклин, Нью-Йорк, Соединённые Штаты Америки",2017,Ram Promaster 2500,176000,2WD,Clean,Automatic,Gasoline,,,2,3,True,True,True,True,True,True,True,,True,True,True,True,True,True,,,True,,True,True,,,True,True,,,True,True,True,,True,,,,,,,,,,,
24,2017 Mercedes-Benz Sprinter 4x4,123000.0,"Fort Worth, Texas, United States",2017,Mercedes Sprinter,95000,4WD,Clean,Automatic,Diesel,,170.0,2,2,True,True,True,True,True,True,True,True,True,True,True,,True,True,,True,True,,True,True,True,,,True,True,True,True,True,True,,True,,True,True,True,True,True,,True,,,
25,2020 Ford Transit AWD - Fully Equipped,119000.0,"Burlington, Vermont, United States",2020,Ford Transit 350,20200,AWD,Clean,Automatic,Gasoline,,148.0,2,2,True,,True,True,True,True,,,True,True,True,,True,True,,,True,,True,True,True,True,,True,True,True,True,True,True,,True,,,,,,,True,,,,
26,PENDING SALE: Cabin On Wheels with outside Shower - New Sprinter 144,89000.0,"Lexington, Kentucky, United States",2020,Mercedes Sprinter 144,600,2WD,Clean,Automatic,Diesel,21.0,144.0,2,2,True,,,True,,,,,True,True,True,,True,True,,True,True,,True,True,True,,,,True,True,,True,True,,True,,,,,,,,,,,
27,2019 Mercedes Sprinter 3500XD 4x4 Extended High Roof,79900.0,"Mountain Iron, Minnesota, United States",2019,Mercedes Sprinter 3500XD,42000,4WD,Clean,Automatic,Diesel,18.0,170.0,2,2,True,,True,True,True,,True,,,,True,,,,True,True,True,,,,,,,,,,,,,,,,True,,,,,,,,,
28,Mercedes 2020 4x4 Tourig Custom,119000.0,"Denver, Colorado, United States",2020,Mercedes 2500 Low Roof 4x4,133,4WD,Clean,Automatic,Diesel,,144.0,4,2,True,True,True,True,True,,True,,,,True,True,,True,,,True,,,,True,,,,,,,,,,True,,,True,,True,,,True,,,
29,2006 Dodge Sprinter T1N Adventure Van,70000.0,"Ashland, Virginia, United States",2006,Dodge Sprinter 140WB,181532,2WD,Clean,Automatic,Diesel,22.0,140.0,2,2,True,,True,,True,,,,True,True,True,True,True,True,,True,True,,True,True,,,,,True,,,,True,True,,,,True,,,,True,,,,
30,Transit 2018 Medium Roof with Full size bed,51000.0,"Los Angeles, California, United States",2018,Ford Transit 250,71000,2WD,Clean,Automatic,Gasoline,,138.0,2,2,True,,True,True,,True,,,,True,True,,,True,,,True,,,,,,,,True,,True,,,,,,,,,,,True,,,,
31,"Fully-Loaded, Professionally Converted 2020 AWD Ford Transit 148"" High Roof",184900.0,"North Bonneville, Washington, United States",2020,Ford Transit,5000,AWD,Clean,Automatic,Gasoline,,148.0,4,4,True,,True,True,True,,True,,True,True,True,True,True,True,True,True,True,,True,True,True,,,,True,True,True,True,True,True,True,,True,True,,True,,,True,,True,
32,SOLD - 2006 Sprinter Van Conversion Ready to live in,22000.0,"Wolfeboro, New Hampshire, United States",2006,Dodge Sprinter,208500,2WD,Clean,Automatic,Diesel,21.0,158.0,2,2,True,,True,True,,,,True,,True,True,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
33,"2021 RAM PROMASTER 2500 159"" WHEEL BASE -DMVAN CONVERSION",64990.0,"El Cerrito, California, United States",2021,"RAM PROMASTER 2500 159""",14023,2WD,Clean,Automatic,Gasoline,15.0,159.0,2,4,True,,True,True,True,True,,True,True,True,True,,True,True,,,True,,,True,,,,,,True,True,,True,,True,,,,,,,,,,,
34,Chevy 1500 Express camper van,17999.0,"San Juan Capistrano, California 92675, United States",1999,Chevy Express,88000,2WD,Clean,Automatic,Gasoline,,,2,2,True,True,True,True,True,,,,True,,,,True,True,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,
35,New hand-crafted converted Sprinter Campervan,94000.0,"San Diego, California, United States",2017,Mercedes Sprinter 144 - 2500,31000,2WD,Clean,Automatic,Diesel,,144.0,3,3,True,,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,,True,,True,True,True,True,True,True,True,,,True,True,True,,,True,
36,Mercedes Sprinter Converted Campervan,95000.0,"3768 Norwood Drive, Littleton, Colorado 80125, United States",2021,Mercedes Sprinter,500,2WD,Clean,Automatic,Gasoline,,144.0,2,2,True,True,True,True,True,,True,True,True,True,True,,True,True,,,True,,,True,True,,True,,,True,,,True,,True,,,,,,,True,,,,
37,Mercedes Sprinter 4x4 Campervan,135000.0,"3768 Norwood Drive, Littleton, Colorado 80125, United States",2020,Mercedes Sprinter,1700,4WD,Clean,Automatic,Diesel,,144.0,2,2,True,True,True,True,True,,True,,True,True,True,,True,True,,,,,True,True,True,,True,,True,True,,,True,,True,,True,True,,,,True,True,,,
38,Road ready weekend warrior,20150.0,"Canonsburg, Pennsylvania, United States",2011,Ford Transit Connect XLT,156405,2WD,Clean,Automatic,Gasoline,,,2,2,True,,True,True,True,,,,True,True,True,True,,True,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,
39,Off-Grid Camper Van | Luxury Sprinter Conversion,45000.0,"Goleta, California, United States",2006,Mercedes Sprinter 2500,152000,2WD,Clean,Automatic,Diesel,24.0,140.0,2,2,True,True,True,,True,,,True,True,True,True,,True,True,,True,True,,True,True,,,,,,True,True,,True,,True,,,True,,,,,,,,
40,2020 4WD Sprinter Pop Top Weekender for family,180000.0,"Encinitas, California 92024, United States",2020,Mercedes Sprinter 4WD 144 Crew Van,6000,4WD,Clean,Automatic,Diesel,,144.0,4,4,True,,True,True,True,,True,,,,True,True,True,True,True,True,True,,True,,True,,,,True,True,,,True,True,True,,True,True,,True,,,True,,,
41,1970 Shasta Compact Travel Trailer,14000.0,"Colorado Springs Police Operations Center, 705 S Nevada Ave, Colorado Springs, Colorado 80903, United States",1970,Shasta Compact,5000,Other,Missing,Other,Other,,,0,2,,,,,,,True,,,True,,,True,,,,,,,True,,,,,,True,,,,,,,,,True,,,,,,,
42,Mercedes Sprinter shuttle! (107k miles!,22750.0,"Sacramento, California, United States",2010,Mercedes Sprinter 3500 shuttle,107000,2WD,Clean,Automatic,Diesel,17.0,170.0,17,0,True,True,True,,,,,,,,,,,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,
43,Queen size Murphy bed Camper Van with Excellent AC !,43000.0,"Coral Cove, League City, Texas 77573, United States",2008,Mercedes Sprinter,320000,2WD,Clean,Automatic,Diesel,20.0,170.0,3,3,True,True,True,True,True,,,,True,True,True,,True,True,,True,True,True,True,True,,,,True,True,True,True,,True,,True,,,,,,True,,,,True,
44,"BRAND NEW 2021 144"" Sprinter Campervan | VanCraft Conversions",114900.0,"Oceanside, California, United States",2021,Mercedes Sprinter Campervan,50,2WD,Clean,Automatic,Diesel,24.0,144.0,4,3,True,,True,True,True,,True,True,True,True,True,,True,True,,,True,,True,,True,,True,,True,True,,True,True,,True,,True,True,,,,True,,,,
45,2020 Transit High Roof Colorful Minimalism,110000.0,"Denver, Colorado, United States",2020,2020 Ford Transit High Roof,13500,2WD,Clean,Automatic,Gasoline,,144.0,2,2,True,True,True,True,True,,True,,True,True,True,True,True,True,True,True,True,,True,True,True,,,,True,True,True,,True,True,True,,True,True,,True,,True,,,,
46,Box-van fully custom top of the line conversion,85000.0,"Annapolis, Maryland, United States",2006,Ford econoline,130000,AWD,Clean,Automatic,Gasoline,15.0,,3,3,True,,True,,True,True,True,True,True,True,True,,True,True,True,,True,,True,True,True,True,,True,,True,True,True,True,,,,True,True,,,True,True,,,,
47,[SOLD] 2021 Weekend Vans Sprinter Campter | Seats and Sleeps 5,86500.0,"Carlsbad, California, United States",2021,Mercedes Sprinter,75,2WD,Clean,Automatic,Diesel,,144.0,5,5,True,,True,True,True,True,,,,True,True,True,,True,,,True,,True,,,,,,True,,,True,True,,True,,,,,,,,True,,,
48,"PRICE REDUCED - Totally Loaded 2020 144"" 4 x 4 Professionally Converted and Ready to Go! Only 1,300 test miles",195000.0,"Salt Lake City, Utah 84106, United States",2020,"2020 Mercedes Benz High Roof 144"" 4 x 4 Conversion Completion 7-21",1306,4WD,Lien,Automatic,Diesel,17.0,144.0,2,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,,True,True,True,True,True,True,True,,True,,True,True,,True,,,,,,
49,The Wanderer!,87500.0,"Durango, Colorado, United States",2021,Brand New Promaster 2500 159 WB,1500,2WD,Clean,Automatic,Gasoline,,159.0,2,2,True,,True,True,True,,,,True,True,True,True,True,,,,True,True,True,,True,,,,True,True,True,True,True,,,,,,,,,,,,,
