,Vehicle,Price,Location,Manufacturing Year,Make & Model,Mileage,Drive,Title Status,Transmission,Fuel,Fuel Efficiency (Highway),Wheel Base Length,Number of Seats with Seatbelts,Sleeping Capacity,Air Bags,Air Conditioner,Audio System,Backup Camera,Bluetooth / Wifi,Cooler,Exterior Lights,Fresh Water Tank (Portable),Inverter,Refrigerator,Roof Fan,Roof Rack,Sink,Solar,Tow Winch,Towing Package,USB port,Bike Rack,Fresh Water Tank (Built-in),Grey / Black Water Tanks,Heater / Furnace,Oven,Security System,Shower (Indoor),Shower (Outdoor),Stove,Toilet,Water Heater,Water Pump,Awning,Electric windows,Microwave,Offroad Lights,Offroad Tires,Skylight,Suspension Mods,TV,Propane,Heated seats,Generator,Child Seat,Handicap / Wheelchair Conversion
24,Katie - The home on wheels by Mybushotel,120000.0,"1716 Weeping Willow Lane, Las Vegas, Nevada 89104, États-Unis",2021,Dodge ram promaster 3500 high roof extended,,2WD,Clean,Automatic,Gasoline,25.0,,2,2,True,True,True,True,True,True,,True,True,True,True,True,True,True,,,True,,True,True,True,True,,True,True,True,True,True,True,True,True,True,,,,,,,,,,
25,Beautifully Set Up Simple Camper Van with Extras!,40995.0,"Pittsburg, California, United States",2016,2016 Ram Promaster 1500 Low Roof 136in WB,48151,2WD,Clean,Automatic,Gasoline,,136.0,2,2,True,,,True,,,,,,,True,,,True,,,True,,,,,,,,,,True,,,,True,,,,,,,,,,,
26,2019 Ford 148 Regular by OZK Vans,48723.0,"Fayetteville, Arkansas, United States",2019,Ford 148 Regular,9000,2WD,Clean,Automatic,Gasoline,,,2,4,True,True,,True,True,,,,,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,,,,
27,"MB SPRINTER 3500 HR WB 144"" CAMPER CONVERSION",30000.0,"Fort Lauderdale, Florida 33315, United States",2012,MB SPRINTER 3500,227000,2WD,Clean,Automatic,Diesel,18.0,144.0,2,2,True,,,True,,,,,True,True,True,True,True,True,,,,,True,,,,,,,True,,,True,,True,,,,True,,,True,,,,
28,Custom Micro Camper ! Fully Loaded ! Priced to Sell,29500.0,"Petoskey, Michigan, United States",2012,2012 Ford Transit Connect,56328,2WD,Lien,Automatic,Gasoline,27.0,,2,2,True,,True,,,,,True,True,True,True,,True,True,,True,True,,,True,,,,,True,True,True,,True,,True,,,,,,,,,,,
29,2020 Transit RV Elevation Road,89900.0,"600 Ohio Pike, Cincinnati, Ohio 45245, United States",2020,Ford Transit,750,2WD,Clean,Automatic,Gasoline,,,2,2,True,True,True,True,True,True,True,True,True,True,True,,True,True,,True,True,,,True,,,,,True,True,,True,True,,,,,,,,,,,,,
30,Beautifully Crafted Conversion Van,42000.0,"Boulder, Colorado, United States",2017,2017 Ford Transit 150 Medium Roof,88000,2WD,Clean,Automatic,Gasoline,20.0,144.0,3,2,True,,True,True,True,True,,True,True,True,True,,True,True,,,True,,,True,,,,,,True,,,True,,True,,,,,,,True,,,,
31,"Modern Luxury 4-Season Off-Grid Sprinter 170"" High-Top: HUGE Garage & Kitchen",78000.0,"Robbinsville Township, New Jersey, United States",2010,Freightliner Sprinter 2500,173000,2WD,Clean,Automatic,Diesel,18.0,170.0,2,3,True,,True,True,True,,,True,True,True,True,,True,True,,,True,,,True,True,,True,,True,True,True,,,,True,True,,True,,,,True,,,,
32,SPRINTER 4x4 2020 Build 2021,170499.0,"San Francisco, California, United States",2019,Mercedes Sprinter,4176,4WD,Clean,Automatic,Diesel,22.0,,5,4,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,,,True,True,True,True,,True,,True,True,True,,,True,,,,,True,
33,#VANLIFE 4-Season Ram Promaster Conversion with Indoor Shower!,77000.0,"Norwalk, Connecticut 06854, United States",2014,Ram Promaster,44000,2WD,Clean,Automatic,Gasoline,,136.0,2,2,True,,True,True,True,,True,,True,True,True,True,True,True,,True,True,,True,True,True,,,True,True,True,True,True,True,,True,,,,,,,,,,,
34,2020 Ram Promaster High Top,75000.0,"Phoenix, Arizona, United States",2020,Dodge Promaster 2500,26000,2WD,Clean,Automatic,Gasoline,,159.0,2,2,True,True,True,True,,True,,True,True,True,True,True,True,True,,,True,,True,,,,,,True,True,,,True,,True,,,,,,,True,,,,
35,Beautiful Simple Promaster,75000.0,"1455 West Cedar Avenue, Denver, Colorado 80223, United States",2021,2021 Dodge Promaster,500,2WD,Clean,Automatic,Gasoline,,,2,2,True,True,True,True,True,,,True,True,True,True,True,True,True,,,True,,,True,,,,,,True,,,True,,True,,,True,,,,,,,,
36,1999 VW Winnebago Eurovan - 61k Miles - Low Miles With Custom Modifications,45000.0,"Bellingham, Washington, United States",1999,VW Eurovan,60958,Other,Clean,Automatic,Gasoline,,,2,3,,True,True,,,,,,,,True,True,True,,,,,,True,True,,,,,,True,,,True,True,True,,,True,,True,,True,,,,
37,Loaded 2021 170 Custom 4x4 Sprinter From Launch Vans,149998.0,"Boise, Idaho, United States",2021,Mercedes Benz,12,4WD,Clean,Automatic,Diesel,,170.0,2,2,True,True,True,True,True,True,True,True,,True,True,,True,True,True,True,True,,True,,True,,,,True,,True,True,True,,True,,,True,,,,,True,,,
38,2017 MB Sprinter 4x4,90000.0,"Eureka, California, United States",2017,Mercedes Sprinter,70000,4WD,Clean,Automatic,Diesel,16.0,144.0,2,0,True,True,True,True,True,,True,,,,True,True,,,,True,True,,,,True,,,,,,,,,True,True,,True,True,,,,,True,,,
