,Vehicle,Price,Location,Manufacturing Year,Make & Model,Mileage,Drive,Title Status,Transmission,Fuel,Wheel Base Length,Number of Seats with Seatbelts,Sleeping Capacity,Air Bags,Air Conditioner,Audio System,Backup Camera,Bluetooth / Wifi,Electric windows,Exterior Lights,Fresh Water Tank (Built-in),Grey / Black Water Tanks,Offroad Tires,Refrigerator,Roof Fan,Sink,Solar,Stove,USB port,Water Pump,Bike Rack,Heater / Furnace,Microwave,Shower (Indoor),Toilet,Water Heater,Awning,Fresh Water Tank (Portable),Heated seats,Inverter,Offroad Lights,Roof Rack,Security System,Shower (Outdoor),Suspension Mods,Tow Winch,Towing Package,Cooler,TV,Fuel Efficiency (Highway),Generator,Oven,Propane,Child Seat,Skylight,Handicap / Wheelchair Conversion
36,2017 SPRINTER 3500 EXTENDED 170 HIGH ROOF AIRSTREAM INTERSTATE Extended Grand Tour (GT) Tommy Bahama Edition,129500.0,"Tenafly, New Jersey, United States",2017,Mercedes-Benz Sprinter 3500 AIRSTREAM Interstate,106000,2WD,Clean,Automatic,Diesel,170.0,7,4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,18.0,True,True,True,True,True,
37,2018 Ram Promaster High Roof Adventure Van,69500.0,"Kamm's Corners, Cleveland, Ohio 44111, United States",2018,Ram Promaster 2500,56200,2WD,Lien,Automatic,Gasoline,159.0,2,2,True,,True,True,True,True,,True,True,,True,True,True,True,True,True,True,,True,,True,True,True,,,,True,,True,,,,,True,,True,,,,True,,True,
38,The Boujie Nomad RV - Luxury FULL Conversion,175000.0,"Los Angeles, California, United States",2020,2020 White Mercedes Sprinter 144″ WB,3200,4WD,Clean,Automatic,Diesel,,2,3,True,True,True,True,,True,True,True,,,True,True,True,True,True,True,,,True,,True,True,,True,,,,,True,True,True,,True,True,True,True,,,True,True,,True,
39,2021 promaster with 2021 professionally done build,87500.0,"Denver, Colorado 80206, United States",2021,Ram promaster,14138,2WD,Clean,Automatic,Gasoline,159.0,2,2,True,True,True,True,True,True,,True,True,,True,True,True,True,True,True,True,,,,True,True,True,,,,True,,True,True,True,,,,True,,,,,True,,,
40,2020 148 Regular Midroof AWD - OZK Vans Build,127300.0,"Fayetteville, Arkansas, United States",2020,Ford 148 Regular,15418,AWD,Clean,Automatic,Gasoline,,2,2,True,True,True,True,True,True,True,,,True,True,True,,True,,True,,,True,,,,,,,,True,True,True,True,,True,,True,True,,,,,,,,
41,"2021 Ram Promaster 159"" Camper Van",79078.0,"900 East Lincoln Avenue, Fort Collins, Colorado 80524, United States",2021,"Ram Promaster 159"" High Top",150,2WD,Clean,Automatic,Gasoline,159.0,5,4,True,,,True,,,,,,True,True,True,True,,True,,True,,,,,,,,True,,,,,,,,,True,,,,,,,,,
42,"OFF-GRID BOX TRUCK TINY HOUSE | vanlife"" that feels like HOME!",74000.0,"Irvine, California, United States",2001,2001 IZUSU NQR 450,247166,2WD,Clean,Automatic,Diesel,,3,4,True,True,True,True,True,,True,True,True,,True,,True,True,True,True,True,,True,,True,True,True,,True,,True,,,True,True,,,,True,True,16.0,True,,True,,,
43,Immediate Build Date Opening!,85000.0,"Chicago, Illinois, United States",2018,Mercedes Sprinter,0,Other,Clean,Automatic,Diesel,,2,2,True,,,True,,,,True,True,,True,True,True,True,,True,True,,True,,True,True,True,,,,True,,True,,,,,,,,,,,,,,
44,2017 Mercedes-Benz Sprinter 2500 170WB High Roof 4WD,95000.0,"Lafayette, Indiana 47905, United States",2017,Mercedes Sprinter,40000,4WD,Clean,Automatic,Diesel,170.0,2,2,True,True,,True,,True,,True,True,,True,True,True,True,True,,True,,True,,,True,True,True,,,,,,,True,,,True,,,,,,True,,,
45,The White Elephant,39000.0,"Grand Rapids, Michigan, United States",1999,1999 Chevy 3500 Express,160000,2WD,Clean,Automatic,Diesel,,2,2,True,,,,,,True,,,,,,True,True,True,True,,,,,,,,,True,,,,True,,,,,,True,,12.0,,,True,,,
46,"2021 Mercedes Sprinter 144"" 4x4",122910.0,"900 East Lincoln Avenue, Fort Collins, Colorado 80524, United States",2021,Mercedes Sprinter,150,4WD,Clean,Automatic,Diesel,144.0,2,2,True,,,True,,,,,,True,True,True,True,True,,,True,,,,,True,,True,True,True,,,True,,,,,True,,,,,,,,,
47,2021 Ram Promaster Camper Van,66085.0,"900 East Lincoln Avenue, Fort Collins, Colorado 80524, United States",2021,"Ram Promaster 136"" High Top",100,2WD,Clean,Automatic,Gasoline,136.0,2,2,True,,,,,,,,,True,True,,True,,,,,,,,,,,,True,,,,,,,,,True,,,,,,,,,
48,Brand New 2020 Mercedes-Benz Sprinter 2500 (2021 Conversion),140000.0,"Chicago, Illinois, United States",2020,Mercedes Sprinter,120,2WD,Lien,Automatic,Diesel,144.0,2,2,True,True,True,True,True,True,,True,True,,True,True,True,True,True,True,True,,True,True,,True,True,,,True,True,,,,True,,,True,,,,,,,,,
49,2021 PROMASTER LUXURY VAN shower & toilet,120000.0,"Нортридж, Калифорния, Соединённые Штаты Америки",2021,RAM PROMASTER 3500,7000,2WD,Clean,Automatic,Gasoline,,2,2,True,True,True,True,True,True,,True,True,,True,True,True,True,,,,,True,,True,True,True,,,,True,,True,True,,,,,True,,,,,,,,
0,Brand New Promaster Camper Conversion,95000.0,"3724 South Pitkin Circle, Aurora, Colorado 80013, United States",2021,Ram Promaster 2500,118,2WD,Lien,Automatic,Gasoline,159.0,2,3,True,True,True,True,True,True,True,,True,,True,True,True,True,,True,True,,,,,,,,True,,True,,,,,,,,True,,,,,,,,
1,2017 Transit Conversion,73000.0,"Los Osos, California, United States",2017,"Ford Transit 250, Med Roof, 148 wheelbase",34000,2WD,Clean,Automatic,Gasoline,148.0,2,2,True,True,True,True,,True,,True,True,,True,True,True,True,True,True,True,,,,,,,,,,True,,,,,,,True,,,19.0,,,True,,,
