,Vehicle,Price,Location,Manufacturing Year,Make & Model,Mileage,Drive,Title Status,Transmission,Fuel,Fuel Efficiency (Highway),Wheel Base Length,Number of Seats with Seatbelts,Sleeping Capacity,Air Bags,Air Conditioner,Audio System,Backup Camera,Bluetooth / Wifi,Electric windows,Exterior Lights,Fresh Water Tank (Portable),Generator,Grey / Black Water Tanks,Heater / Furnace,Inverter,Refrigerator,Roof Fan,Roof Rack,Shower (Outdoor),Sink,Solar,Toilet,USB port,Water Heater,Water Pump,Fresh Water Tank (Built-in),Shower (Indoor),Stove,Towing Package,Heated seats,Offroad Lights,Awning,Cooler,Offroad Tires,Security System,Suspension Mods,Tow Winch,Oven,Propane,Skylight,Bike Rack,Child Seat,Microwave,TV,Shower,Fuel (Code),Sprinter,Promaster,Transit,Other,Manufacturing Year Binned,Age,Wheelbase Binned,Size,West,Midwest,South,Northeast,Fuel Dummy,Plumbing Score,Gadget Score,Creature Comfort Score
67,Beautiful Simple Promaster,75000.0,West,2021,Promaster,500.0,2WD,Clean,Automatic,Gasoline,20.0,159.0,2,2,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,Brand New,4,Mid Size,2,1,0,0,0,0,4,8,5
68,Outside Van Family Camper,115000.0,Midwest,2014,Other,61500.0,2WD,Clean,Automatic,Diesel,19.571429,170.0,8,4,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,Midlife,2,Big,3,0,1,0,0,1,5,14,8
69,1999 VW Winnebago Eurovan - 61k Miles - Low Miles With Custom Modifications,45000.0,West,1999,Other,60958.0,Other,Clean,Automatic,Gasoline,19.571429,131.0,2,3,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,Old,1,Small,1,1,0,0,0,0,4,4,6
70,Loaded 2021 170 Custom 4x4 Sprinter From Launch Vans,149998.0,West,2021,Sprinter,12.0,4WD,Clean,Automatic,Diesel,19.571429,170.0,2,2,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,Brand New,4,Big,3,1,0,0,0,1,7,11,5
71,2017 MB Sprinter 4x4,90000.0,West,2017,Sprinter,70000.0,4WD,Clean,Automatic,Diesel,17.0,144.0,2,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Newer,3,Small,1,1,0,0,0,1,0,10,5
72,2014 Dodge Promaster 3500 ext partial build,34999.0,West,2014,Promaster,129900.0,2WD,Clean,Automatic,Gasoline,21.0,159.0,4,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,Midlife,2,Mid Size,2,1,0,0,0,0,0,2,0
73,1996 E350 Powerstroke Turbo Diesel Extended Club Wagon,32000.0,West,1996,Other,256000.0,2WD,Clean,Automatic,Diesel,18.009009,131.0,2,2,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,Old,1,Small,1,1,0,0,0,1,6,10,2
74,Lithium Powered All Season Adventure Van,209000.0,South,2020,Sprinter,800.0,4WD,Clean,Automatic,Diesel,18.009009,144.0,4,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,Newer,3,Small,1,0,0,1,0,1,6,14,9
75,2020 Sprinter 3500EXT,92500.0,West,2020,Sprinter,10000.0,2WD,Lien,Automatic,Diesel,20.0,170.0,2,2,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Newer,3,Big,3,1,0,0,0,1,0,8,3
76,2006 Earthroamer XV-LT,185000.0,West,2006,Other,120000.0,4WD,Lien,Automatic,Diesel,25.0,131.0,4,4,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,Midlife,2,Small,1,1,0,0,0,1,8,12,10
77,2021 Mercedes Sprinter 170 4x4 - BRAND NEW,80000.0,West,2021,Sprinter,1000.0,4WD,Clean,Automatic,Diesel,18.009009,170.0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Brand New,4,Big,3,1,0,0,0,1,0,6,0
78,"2020 Ford Transit Luxury Van Conversion Fully Loaded, brand new build! Full Bath, TV, Internet, Full Kitchen, Ambient Lighting!",119000.0,West,2020,Transit,15000.0,2WD,Clean,Automatic,Gasoline,18.009009,148.0,2,4,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,0,Newer,3,Small,1,1,0,0,0,0,7,11,5
79,"2020 Ford T-250 AWD (High Roof) - professionally built, custom van perfect for off the grid living.",147500.0,West,2020,Transit,13504.0,AWD,Clean,Automatic,Gasoline,18.0,19.0,2,2,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,2,0,0,1,0,Newer,3,Small,1,1,0,0,0,0,7,15,7
80,2016 sprinter 4x4 adventure vehicle,109000.0,West,2016,Sprinter,112600.0,4WD,Clean,Automatic,Diesel,19.571429,144.0,2,3,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,Newer,3,Small,1,1,0,0,0,1,5,11,6
81,Custom Stealth Camper Van - Solar Powered Tiny Home on Wheels,80000.0,Northeast,2019,Transit,42400.0,2WD,Clean,Automatic,Gasoline,19.571429,148.0,2,2,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,1,0,Newer,3,Small,1,0,0,0,1,0,7,8,8
82,2019 4x4 Sprinter Adventure Van,175000.0,West,2019,Sprinter,36000.0,4WD,Clean,Automatic,Diesel,18.009009,144.0,4,4,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Newer,3,Small,1,1,0,0,0,1,6,7,5
83,2014 RAM Promaster- 2021 Conversion,80000.0,West,2014,Promaster,94000.0,2WD,Clean,Automatic,Gasoline,18.009009,159.0,2,2,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,Midlife,2,Mid Size,2,1,0,0,0,0,3,6,5
84,Professionally Built Mercedes Benz 144 Adventure Van,90500.0,West,2015,Other,40000.0,2WD,Clean,Automatic,Diesel,19.571429,144.0,3,3,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,Midlife,2,Small,1,1,0,0,0,1,7,13,8
85,2021 Dodge Promaster 159”WB,88500.0,West,2021,Promaster,1000.0,2WD,Clean,Automatic,Gasoline,19.571429,159.0,2,2,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,Brand New,4,Mid Size,2,1,0,0,0,0,8,7,6
86,2005 Sprinter ROAD READY,34000.0,South,2005,Sprinter,310000.0,2WD,Clean,Automatic,Diesel,18.0,158.0,2,2,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,Midlife,2,Mid Size,2,0,0,1,0,1,7,7,5
87,Self build that needs a little more love!,60000.0,Midwest,2017,Promaster,38000.0,2WD,Clean,Automatic,Gasoline,18.009009,118.0,2,2,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,Newer,3,Small,1,0,1,0,0,0,3,5,1
88,2021 Mercedes Sprinter Campervan,76000.0,South,2021,Sprinter,655.0,2WD,Clean,Automatic,Gasoline,18.0,144.0,2,2,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,Brand New,4,Small,1,0,0,1,0,0,7,9,4
89,"Vintage 1976 GMC Coachmen 24' Fuel-Injected, Solar-powered Motorhome- Live Your Off-Grid Dream Life!",34900.0,West,1976,Other,104000.0,2WD,Clean,Automatic,Gasoline,19.571429,131.0,2,5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,2,0,0,0,1,Old,1,Small,1,1,0,0,0,0,8,11,8
90,The Ultimate Family Van!,98000.0,Midwest,2020,Transit,32400.0,2WD,Clean,Automatic,Gasoline,18.009009,148.0,4,4,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,Newer,3,Small,1,0,1,0,0,0,7,8,3
91,Cabin on wheels skoolie,65000.0,South,2006,Other,66000.0,4WD,Clean,Automatic,Diesel,19.571429,131.0,1,3,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,Midlife,2,Small,1,0,0,1,0,1,8,3,6
92,RAM PROMASTER 2500 HIGH TOP,96876.0,Northeast,2021,Promaster,20.0,2WD,Clean,Automatic,Gasoline,17.0,159.0,2,2,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,Brand New,4,Mid Size,2,0,0,0,1,0,3,4,3
93,"Flarespace Transit 148"" Adventure Van",110000.0,West,2020,Transit,12000.0,AWD,Clean,Automatic,Gasoline,19.0,148.0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,Newer,3,Small,1,1,0,0,0,0,0,4,2
94,2018 Metris Cargo Van 2019 Custom Conversion (Keystone Coach Works),95000.0,West,2018,Other,6980.0,2WD,Clean,Automatic,Gasoline,19.571429,126.0,5,4,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,Newer,3,Small,1,1,0,0,0,0,3,8,5
95,"Vansmith- Ram Promaster 136"" Conversion",75000.0,West,2021,Promaster,50.0,2WD,Lien,Automatic,Gasoline,19.0,136.0,2,2,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,Brand New,4,Small,1,1,0,0,0,0,4,6,2
96,****LET'S CUT TO THE CHASE**** WHAT WOULD YOU PAY FOR THIS VAN TODAY?,199000.0,Northeast,2019,Sprinter,23000.0,4WD,Clean,Automatic,Diesel,18.009009,144.0,2,2,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,Newer,3,Small,1,0,0,0,1,1,7,8,7
97,RAM Promaster Camper Van,72995.0,West,2018,Promaster,27000.0,2WD,Clean,Automatic,Gasoline,19.571429,136.0,2,2,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,Newer,3,Small,1,1,0,0,0,0,6,7,4
98,Boondocker’s Dream 2500 Promaster High Roof w/ Low Miles,79900.0,West,2019,Promaster,18900.0,2WD,Clean,Automatic,Gasoline,19.571429,159.0,2,2,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,Newer,3,Mid Size,2,1,0,0,0,0,4,7,2
99,MERCEDES-BENZ 2500 4X4 VANDEMIC BADLAND BUILD,164995.0,Midwest,2021,Sprinter,600.0,4WD,Clean,Automatic,Diesel,19.0,144.0,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,Brand New,4,Small,1,0,1,0,0,1,8,11,8
101,Ultimate Mobile Office / Touring Sprinter 170 4X4,209000.0,West,2019,Sprinter,21000.0,4WD,Lien,Automatic,Diesel,19.571429,170.0,4,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,Newer,3,Big,3,1,0,0,0,1,4,6,4
102,Converted Sprinter Van,42000.0,West,2015,Sprinter,108000.0,2WD,Lien,Automatic,Diesel,15.0,144.0,2,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,Midlife,2,Small,1,1,0,0,0,1,2,8,6
103,Cozy Cabin On The Go - 2020 Ram Promaster,70000.0,Northeast,2020,Promaster,22000.0,2WD,Lien,Automatic,Gasoline,19.571429,159.0,2,2,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,Newer,3,Mid Size,2,0,0,0,1,0,4,6,5
104,Affordable van needs new home!!!,44999.0,West,2015,Promaster,91200.0,2WD,Clean,Automatic,Diesel,19.571429,136.0,2,2,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,Midlife,2,Small,1,1,0,0,0,1,0,4,1
105,2019 Mercedes Sprinter 2500- 170 (ready to build!),37900.0,West,2019,Sprinter,35000.0,2WD,Salvage,Automatic,Gasoline,18.009009,170.0,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,Newer,3,Big,3,1,0,0,0,0,5,4,3
106,Fully Converted Custom 2017 Ram Promaster 2500 High-Roof Van,69500.0,South,2017,Promaster,67570.0,2WD,Clean,Automatic,Gasoline,18.0,159.0,2,2,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,Newer,3,Mid Size,2,0,0,1,0,0,5,11,7
107,Mercedes Sprinter Moto Van,65000.0,West,2013,Sprinter,150000.0,2WD,Clean,Automatic,Diesel,18.009009,144.0,4,4,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,Midlife,2,Small,1,1,0,0,0,1,7,7,4
108,Beautiful 2021 Van just waiting for an artistic touch!,85999.0,South,2021,Promaster,9065.0,2WD,Lien,Automatic,Gasoline,19.571429,159.0,2,2,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,Brand New,4,Mid Size,2,0,0,1,0,0,0,1,2
109,For Sale by Original Owner,19500.0,West,2005,Sprinter,328000.0,2WD,Clean,Automatic,Diesel,19.571429,118.0,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,Midlife,2,Small,1,1,0,0,0,1,2,6,3
110,Professionally Converted 2020 Ram Promaster,54900.0,West,2020,Promaster,23000.0,2WD,Clean,Automatic,Gasoline,19.0,159.0,4,4,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,Newer,3,Mid Size,2,1,0,0,0,0,7,14,7
111,Professionally Built 4 Season Adventure Van,140000.0,West,2020,Transit,9000.0,AWD,Clean,Automatic,Gasoline,13.0,148.0,2,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,2,0,0,1,0,Newer,3,Small,1,1,0,0,0,0,4,7,7
112,PENDING - Ford Transit 350 Adventure Van,77995.0,West,2017,Transit,30000.0,2WD,Clean,Automatic,Gasoline,18.009009,148.0,2,3,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,Newer,3,Small,1,1,0,0,0,0,7,9,8
113,2019 Sprinter 170 4x4 Off Grid!,129000.0,West,2019,Sprinter,32000.0,4WD,Lien,Automatic,Diesel,24.0,170.0,3,4,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,Newer,3,Big,3,1,0,0,0,1,6,11,6
114,Zephyr Van - Sidewinder,205000.0,West,2020,Sprinter,20.0,4WD,Clean,Automatic,Diesel,19.571429,144.0,2,2,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,Newer,3,Small,1,1,0,0,0,1,4,9,7
115,Ultra-Modern Off-Grid 159WB Stealth Promaster,74950.0,West,2018,Promaster,29490.0,2WD,Lien,Automatic,Gasoline,19.0,159.0,2,3,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,2,0,1,0,0,Newer,3,Mid Size,2,1,0,0,0,0,2,8,2
116,2021 ProMaster (High Top/159) with Brand New Build,78000.0,South,2021,Promaster,4500.0,2WD,Clean,Automatic,Gasoline,22.0,159.0,5,4,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,Brand New,4,Mid Size,2,0,0,1,0,0,8,11,6
117,Professionally Built 2016 Ram High Roof 159” Promaster,80000.0,West,2016,Promaster,74087.0,2WD,Clean,Automatic,Diesel,18.009009,159.0,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,Newer,3,Mid Size,2,1,0,0,0,1,4,8,8
118,2011 Mercedes Sprinter 170,72000.0,West,2011,Sprinter,93000.0,2WD,Clean,Automatic,Diesel,18.009009,170.0,3,2,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,Midlife,2,Big,3,1,0,0,0,1,4,9,5
119,Dodge RAM Promaster 2500 with Rustic conversion,54900.0,West,2018,Promaster,43000.0,2WD,Clean,Automatic,Gasoline,20.0,118.0,3,3,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,Newer,3,Small,1,1,0,0,0,0,6,10,6
120,Go Anywhere with this '21 Transit AWD Premium Build,134000.0,West,2021,Transit,600.0,AWD,Lien,Automatic,Gasoline,19.571429,148.0,2,3,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,Brand New,4,Small,1,1,0,0,0,0,6,13,8
121,"Mercedes Sprinter Van 4x4 3500 -165,000",165000.0,West,2017,Sprinter,41000.0,4WD,Clean,Automatic,Diesel,19.571429,170.0,8,5,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,Newer,3,Big,3,1,0,0,0,1,6,8,7
122,"2019 RAM Promaster. Bright, clean, & beautiful.",89000.0,West,2019,Promaster,17200.0,2WD,Clean,Automatic,Gasoline,18.009009,159.0,2,2,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,Newer,3,Mid Size,2,1,0,0,0,0,0,8,1
123,2016 Mercedes Sprinter 2500 170 Passenger Van,48800.0,South,2016,Sprinter,45678.0,2WD,Clean,Automatic,Diesel,13.0,170.0,12,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Newer,3,Big,3,0,0,1,0,1,4,9,4
124,(Pending) 2017 Ram Promaster 3500 ext 159,60000.0,West,2017,Promaster,75000.0,2WD,Clean,Automatic,Gasoline,16.0,159.0,2,3,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,0,1,0,0,Newer,3,Mid Size,2,1,0,0,0,0,5,11,6
125,2020 Sprinter 4x4 Seats up to 7 -2500 High Roof 144”,144900.0,South,2020,Sprinter,16056.0,4WD,Lien,Automatic,Diesel,18.009009,144.0,7,5,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,Newer,3,Small,1,0,0,1,0,1,0,4,0
126,1993 Ford E-350 Ambulance - 4x4 - Only 20k miles!,27500.0,West,1993,Other,20350.0,4WD,Clean,Automatic,Diesel,18.009009,138.0,6,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Old,1,Small,1,1,0,0,0,1,6,7,5
127,2021 Ram Promaster 136 Full Conversion - San Juan Vans,91500.0,West,2021,Promaster,400.0,2WD,Clean,Automatic,Gasoline,19.0,136.0,4,2,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,Brand New,4,Small,1,1,0,0,0,0,4,14,8
128,2017 Sprinter 144 4X4 Custom Build by Oregon Motorcoach Center,165000.0,West,2017,Sprinter,12820.0,4WD,Clean,Automatic,Diesel,18.0,144.0,2,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,Newer,3,Small,1,1,0,0,0,1,5,10,3
129,Introducing the Baja Mobile- A brand new fully converted Mercedes Sprinter 144 4x4,152000.0,West,2020,Sprinter,700.0,4WD,Clean,Automatic,Diesel,12.0,144.0,2,2,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Newer,3,Small,1,1,0,0,0,1,6,3,3
130,"2008 Sprinter 2500 170Ext: 100% Custom, Full Bath!",56000.0,West,2008,Sprinter,289000.0,2WD,Clean,Automatic,Diesel,19.571429,170.0,2,2,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,Midlife,2,Big,3,1,0,0,0,1,5,6,6
131,2017 Mercedes Sprinter 4x4 170WB,98000.0,South,2017,Sprinter,76000.0,4WD,Lien,Automatic,Diesel,20.0,170.0,2,4,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,Newer,3,Big,3,0,0,1,0,1,0,5,4
132,Freightliner Sprinter Crew 4x4,98900.0,West,2020,Sprinter,6500.0,4WD,Clean,Automatic,Diesel,18.009009,144.0,5,4,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Newer,3,Small,1,1,0,0,0,1,3,8,5
133,2018 RAM PROMASTER - HIGH ROOF CAMPER VAN,70000.0,West,2018,Promaster,52500.0,2WD,Lien,Automatic,Gasoline,17.0,159.0,2,2,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,Newer,3,Mid Size,2,1,0,0,0,0,8,14,8
134,2015 4x4 Mercedes Sprinter 2500,159000.0,West,2015,Sprinter,89000.0,4WD,Clean,Automatic,Diesel,18.009009,144.0,2,2,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,Midlife,2,Small,1,1,0,0,0,1,6,8,5
