,Vehicle,Price,Location,Manufacturing Year,Make & Model,Mileage,Drive,Title Status,Transmission,Fuel,Fuel Efficiency (Highway),Wheel Base Length,Number of Seats with Seatbelts,Sleeping Capacity,Air Bags,Air Conditioner,Audio System,Backup Camera,Bluetooth / Wifi,Electric windows,Exterior Lights,Fresh Water Tank (Portable),Generator,Grey / Black Water Tanks,Heater / Furnace,Inverter,Refrigerator,Roof Fan,Roof Rack,Shower (Outdoor),Sink,Solar,Toilet,USB port,Water Heater,Water Pump,Fresh Water Tank (Built-in),Shower (Indoor),Stove,Towing Package,Heated seats,Offroad Lights,Awning,Cooler,Offroad Tires,Security System,Suspension Mods,Tow Winch,Oven,Propane,Skylight,Bike Rack,Child Seat,Microwave,TV,Shower,Fuel (Code),Sprinter,Promaster,Transit,Other,Manufacturing Year Binned,Age,Wheelbase Binned,Size,West,Midwest,South,Northeast,Fuel Dummy,Plumbing Score,Gadget Score,Creature Comfort Score
181,"(SOLD) Mint 2017 Sprinter 2500, 144 Crew van- ready to build!",46500.0,West,2017,Sprinter,21620.0,2WD,Clean,Automatic,Diesel,18.009009,144.0,5,6,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Newer,3,Small,1,1,0,0,0,1,8,9,5
182,Leo - The home on wheels by Mybushotel,95000.0,West,2021,Promaster,2831.686567164179,2WD,Clean,Automatic,Gasoline,15.0,159.0,2,2,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,2,0,1,0,0,Brand New,4,Mid Size,2,1,0,0,0,0,0,7,2
183,Basic Build Awaiting Your Unique Finishes,25000.0,West,2007,Other,59000.0,2WD,Clean,Automatic,Gasoline,18.009009,131.0,2,2,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,Midlife,2,Small,1,1,0,0,0,0,7,7,4
184,Vannah White,109000.0,West,2019,Sprinter,5450.0,2WD,Clean,Automatic,Gasoline,19.571429,144.0,2,3,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,Newer,3,Small,1,1,0,0,0,0,6,12,6
185,4x4 Adventure Van,111000.0,West,2018,Transit,45000.0,4WD,Clean,Automatic,Gasoline,19.571429,148.0,2,2,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,Newer,3,Small,1,1,0,0,0,0,8,8,5
186,Sara - The home on wheels by Mybushotel,90000.0,West,2021,Promaster,2831.686567164179,2WD,Clean,Automatic,Gasoline,18.009009,159.0,2,3,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,Brand New,4,Mid Size,2,1,0,0,0,0,0,8,3
187,2020 transit connect xlt passenger wagon campervan,51000.0,West,2020,Transit,11000.0,2WD,Lien,Automatic,Gasoline,18.009009,120.0,2,2,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,Newer,3,Small,1,1,0,0,0,0,5,8,6
188,"Brand New 2020 Ford Transit 250, 148 Wheelbase, Medium Roof Conversion",83500.0,Northeast,2020,Transit,194.0,2WD,Lien,Automatic,Gasoline,18.009009,148.0,2,2,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,Newer,3,Small,1,0,0,0,1,0,7,12,7
189,ONE OF A KIND OFF-GRID SPRINTER VAN,99000.0,Northeast,2017,Sprinter,20000.0,2WD,Clean,Automatic,Diesel,19.571429,144.0,2,2,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,Newer,3,Small,1,0,0,0,1,1,4,8,7
190,Strata Rigs Ram Promaster Build Out,95000.0,West,2019,Promaster,38000.0,2WD,Clean,Automatic,Gasoline,18.0,136.0,2,2,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,Newer,3,Small,1,1,0,0,0,0,7,7,8
191,"2019 Ram Promaster 136"" WB High Roof - Professional Conversion, Odometer under 600 miles",99500.0,South,2019,Promaster,571.0,2WD,Clean,Automatic,Gasoline,18.009009,136.0,2,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,Newer,3,Small,1,0,0,1,0,0,0,10,2
